,Unnamed: 0,MONAT,Elektro,Hybrid,komb,date
72,72,202201,15460.0,66856.0,82316.0,2022-01-01
73,73,202202,15781.0,68359.0,84140.0,2022-02-01
74,74,202203,16393.0,70741.0,87134.0,2022-03-01
75,75,202204,16712.0,73042.0,89754.0,2022-04-01
76,76,202205,17101.0,76351.0,93452.0,2022-05-01
77,77,202206,17273.0,78636.0,95909.0,2022-06-01
78,78,202207,17512.0,80786.0,98298.0,2022-07-01
79,79,202208,17799.0,81451.0,99250.0,2022-08-01
80,80,202209,18777.0,82292.0,101069.0,2022-09-01
81,81,202210,19376.0,82321.0,101697.0,2022-10-01
82,82,202211,21532.0,83854.0,105386.0,2022-11-01
83,83,202212,24964.0,88755.0,113719.0,2022-12-01
84,84,202301,24902.0,88812.0,113714.0,2023-01-01
85,85,202302,25042.0,89817.0,114859.0,2023-02-01
86,86,202303,25728.0,92179.0,117907.0,2023-03-01
87,87,202304,25824.0,95186.0,121010.0,2023-04-01
88,88,202305,26403.0,98675.0,125078.0,2023-05-01
89,89,202306,27544.0,101658.0,129202.0,2023-06-01
90,90,202307,29097.0,103064.0,132161.0,2023-07-01
91,91,202308,32329.0,103555.0,135884.0,2023-08-01
92,92,202309,33084.0,104691.0,137775.0,2023-09-01
93,93,202310,33281.0,103657.0,136938.0,2023-10-01
94,94,202311,33552.0,103213.0,136765.0,2023-11-01
95,95,202312,34371.0,102616.0,136987.0,2023-12-01
