FID,anzahl_els,anzahl_lp_ac,anzahl_lp_alle,anzahl_lp_dc,anzahl_stpl,aufstelldatum,bemerkung,stadtbezirk,standort,haupttyp,haupttyp_bedeutung,shape
opendata_ruhver_els_point.33,1,2,2,0,2,2017-05-12T00:00:00,,3,Theresienstr. 53,0,In Betrieb befindliche Ladesäulen,POINT (690788.4018008194 5336241.988398019)
opendata_ruhver_els_point.34,1,2,2,0,2,2017-05-02T00:00:00,,3,Schellingstr. 106 Ecke Augustenstr.,0,In Betrieb befindliche Ladesäulen,POINT (690777.9701008191 5336530.3000980215)
opendata_ruhver_els_point.35,2,4,4,0,4,2017-07-21T00:00:00,,3,Schellingstraße 151,0,In Betrieb befindliche Ladesäulen,POINT (690377.7877008105 5336670.381698043)
opendata_ruhver_els_point.36,2,4,4,0,4,2017-03-30T00:00:00,,9,Lothstr. 64,0,In Betrieb befindliche Ladesäulen,POINT (690063.021900804 5336704.157198064)
opendata_ruhver_els_point.37,2,4,4,0,4,2018-04-25T00:00:00,,4,Nordendstraße 23,0,In Betrieb befindliche Ladesäulen,POINT (691513.3518008348 5336785.967997973)
opendata_ruhver_els_point.38,2,4,4,0,4,2017-11-10T00:00:00,,12,Friedrichstr. 36,0,In Betrieb befindliche Ladesäulen,POINT (691882.4430008428 5337394.528597947)
opendata_ruhver_els_point.39,2,4,4,0,4,2017-10-13T00:00:00,,12,Occamstr. 21,0,In Betrieb befindliche Ladesäulen,POINT (692613.2299008586 5337673.814597899)
opendata_ruhver_els_point.40,2,4,4,0,4,2018-04-18T00:00:00,,12,Kunigundenstr. 30,0,In Betrieb befindliche Ladesäulen,POINT (692716.890900861 5338004.51369789)
opendata_ruhver_els_point.41,3,6,6,0,6,2017-03-13T00:00:00,Eröffnungsstandort vom 31.03.2017,4,Karl-Theodor-Str. gegenüber 47,0,In Betrieb befindliche Ladesäulen,POINT (691736.3125008394 5338040.853597956)
opendata_ruhver_els_point.42,2,4,4,0,4,2017-04-04T00:00:00,,4,Hiltenspergerstr. gegenüber 51,0,In Betrieb befindliche Ladesäulen,POINT (690872.6881008209 5337361.153898012)
opendata_ruhver_els_point.43,2,4,4,0,4,2017-03-23T00:00:00,,4,Winzererstr. 90,0,In Betrieb befindliche Ladesäulen,POINT (690512.0228008132 5337452.882398034)
opendata_ruhver_els_point.44,2,4,4,0,4,2017-10-13T00:00:00,,4,Centa-Herker-Bogen 15-17,0,In Betrieb befindliche Ladesäulen,POINT (690062.6188008038 5338045.540698062)
opendata_ruhver_els_point.45,1,2,2,0,2,2017-09-14T00:00:00,,4,Bechsteinstr. 7,0,In Betrieb befindliche Ladesäulen,POINT (690728.7465008178 5338219.38359802)
opendata_ruhver_els_point.46,1,2,2,0,2,2017-11-15T00:00:00,,4,Gartenstr. 1,0,In Betrieb befindliche Ladesäulen,POINT (690506.338100813 5338631.076098033)
