Betreiber,Straße,Hausnummer,Adresszusatz,Postleitzahl,Ort,Bundesland,Kreis/kreisfreie Stadt,Breitengrad,Längengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4
SWM Versorgungs GmbH,Karl-Theodor-Str.,47,,80801,München,Bayern,Kreisfreie Stadt München,"48,166647","11,578844",31.03.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Karl-Theodor-Str.,47a,,80801,München,Bayern,Kreisfreie Stadt München,"48,16669","11,578753",31.03.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Karl-Theodor-Str.,47b,,80801,München,Bayern,Kreisfreie Stadt München,"48,166769","11,57863",31.03.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Friedrichstr.,36,,80801,München,Bayern,Kreisfreie Stadt München,"48,160686","11,580389",08.11.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Friedrichstr.,36a,,80801,München,Bayern,Kreisfreie Stadt München,"48,160768","11,580395",08.11.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Nordendstr.,23,,80801,München,Bayern,Kreisfreie Stadt München,"48,155268","11,575255",26.06.2018,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Nordendstr.,23a,,80801,München,Bayern,Kreisfreie Stadt München,"48,155343","11,575261",26.06.2018,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Ainmillerstr.,39,,80801,München,Bayern,Kreisfreie Stadt München,"48,159079","11,576039",07.05.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Ainmillerstr.,41,,80801,München,Bayern,Kreisfreie Stadt München,"48,159094","11,575942",07.05.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Franz-Joseph-Str. 23,23,Seite Friedrichsstr.,80801,München,Bayern,Kreisfreie Stadt München,"48,157636","11,579895",19.11.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Jolt Energy GmbH,Ungererstr.,54,,80802,München,Bayern,Kreisfreie Stadt München,"48,166347","11,590417",30.11.2023,320,Schnellladeeinrichtung,2,DC Kupplung Combo,160,,DC Kupplung Combo,160,,,,,,,
Jolt Energy GmbH,Ungererstr.,54,,80802,München,Bayern,Kreisfreie Stadt München,"48,166347","11,590417",30.11.2023,300,Schnellladeeinrichtung,2,DC Kupplung Combo,150,,DC Kupplung Combo,150,,,,,,,
SWM Versorgungs GmbH,Leopoldstraße,81,,80802,München,Bayern,Kreisfreie Stadt München,"48,16317","11,58655",02.11.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Occamstr.,19,,80802,München,Bayern,Kreisfreie Stadt München,"48,163194","11,590501",08.11.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Occamstr.,21,,80802,München,Bayern,Kreisfreie Stadt München,"48,163101","11,590437",08.11.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Königinstr.,103,,80802,München,Bayern,Kreisfreie Stadt München,"48,155279","11,588548",21.03.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Königinstr.,103a,,80802,München,Bayern,Kreisfreie Stadt München,"48,155429","11,588581",21.03.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Leopoldstr.,30,Seite Giselastr.,80802,München,Bayern,Kreisfreie Stadt München,"48,155504","11,584123",23.08.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Leopoldstr.,30a,Seite Giselastr.,80802,München,Bayern,Kreisfreie Stadt München,"48,155543","11,583947",23.08.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Leopoldstr.,49,Seite Kaiserstr.,80802,München,Bayern,Kreisfreie Stadt München,"48,160369","11,585572",23.08.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Leopoldstr.,49a,Seite Kaiserstr.,80802,München,Bayern,Kreisfreie Stadt München,"48,160398","11,585429",23.08.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Feilitzschstr.,17,ggü.,80802,München,Bayern,Kreisfreie Stadt München,"48,161028","11,589625",23.08.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Nikolaistr.,2,,80802,München,Bayern,Kreisfreie Stadt München,"48,159108","11,585672",23.08.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Leopoldstr.,7,Seite Georgenstr.,80802,München,Bayern,Kreisfreie Stadt München,"48,154158","11,582732",23.12.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Leopoldstr.,7a,Seite Georgenstr.,80802,München,Bayern,Kreisfreie Stadt München,"48,154188","11,582488",23.12.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Leopoldstr.,19,Seite Franz-Joseph-Str.,80802,München,Bayern,Kreisfreie Stadt München,"48,157299","11,583923",05.02.2020,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Leopoldstr.,19a,Seite Franz-Joseph-Str.,80802,München,Bayern,Kreisfreie Stadt München,"48,157343","11,583753",05.02.2020,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Germaniastr.,20,,80802,München,Bayern,Kreisfreie Stadt München,"48,167171","11,588193",12.10.2020,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Germaniastr.,20a,,80802,München,Bayern,Kreisfreie Stadt München,"48,167268","11,588223",12.10.2020,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Clemensstr.,12,,80803,München,Bayern,Kreisfreie Stadt München,"48,163527","11,583683",07.05.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Clemensstr.,12a,,80803,München,Bayern,Kreisfreie Stadt München,"48,163556","11,583635",07.05.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Herzogstr.,59,,80803,München,Bayern,Kreisfreie Stadt München,"48,162518","11,576446",09.05.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Herzogstr.,61,,80803,München,Bayern,Kreisfreie Stadt München,"48,162565","11,576114",09.05.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Park One GmbH,Leopoldstr.,184,,80804,München,Bayern,Kreisfreie Stadt München,"48,1737111","11,5860434",30.11.2016,22,Normalladeeinrichtung,3,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,"AC Steckdose Typ 2, DC CHAdeMO",22,,,,
Park One GmbH,Leopoldstraße,184,Tiefgarage Schwabinger Tor Nord (P1 A),80804,München,Bayern,Kreisfreie Stadt München,"48,17373887","11,58616941",03.01.2022,22,Normalladeeinrichtung,4,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,
Park One GmbH,Leopoldstraße,170,Tiefgarage Schwabinger Tor Mitte (P1 C),80804,München,Bayern,Kreisfreie Stadt München,"48,17215188","11,58634926",01.09.2022,22,Normalladeeinrichtung,4,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,
Park One GmbH,Leopoldstraße,170,Tiefgarage Schwabinger Tor MItte (P1 C),80804,München,Bayern,Kreisfreie Stadt München,"48,17220197","11,58627416",01.09.2022,22,Normalladeeinrichtung,4,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,
Park One GmbH,Johann-Fichte-Straße,5,Tiefgarage Schwabinger Tor Süd (P1 D),80804,München,Bayern,Kreisfreie Stadt München,"48,16991227","11,58695267",01.10.2022,22,Normalladeeinrichtung,4,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,
Park One GmbH,Johann-Fichte-Straße,5,Tiefgarage Schwabinger Tor Süd (P2 D),80804,München,Bayern,Kreisfreie Stadt München,"48,1698908","11,58704923",01.11.2022,22,Normalladeeinrichtung,4,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,
SWM Versorgungs GmbH,Leopoldstr.,153,,80804,München,Bayern,Kreisfreie Stadt München,"48,171198","11,584858",28.09.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Bechsteinstr.,7,,80804,München,Bayern,Kreisfreie Stadt München,"48,168568","11,565331",08.11.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Kölner Platz,6a,,80804,München,Bayern,Kreisfreie Stadt München,"48,169899","11,577755",11.06.2018,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Bonner Str.,29,,80804,München,Bayern,Kreisfreie Stadt München,"48,169438","11,577825",11.06.2018,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Kraepelinstr.,31,,80804,München,Bayern,Kreisfreie Stadt München,"48,172947","11,574714",09.05.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Kraepelinstr.,33,,80804,München,Bayern,Kreisfreie Stadt München,"48,173058","11,574687",09.05.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Eisenacher Str.,17,,80804,München,Bayern,Kreisfreie Stadt München,"48,173531","11,582433",09.05.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Eisenacher Str.,17a,,80804,München,Bayern,Kreisfreie Stadt München,"48,173541","11,582567",09.05.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Hörwarthstr.,2,,80804,München,Bayern,Kreisfreie Stadt München,"48,168498","11,585785",15.10.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Hörwarthstr.,2a,,80804,München,Bayern,Kreisfreie Stadt München,"48,168526","11,585614",15.10.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Staffelseestr.,2,,80804,München,Bayern,Kreisfreie Stadt München,"48,09215","11,506566",26.04.2021,50,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",50,,AC Steckdose Typ 2,22,,,,,,,
MTTC Iphitos e.V.,Aumeisterweg,10,,80805,München,Bayern,Kreisfreie Stadt München,"48,1852648","11,6152544",16.11.2023,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,7AFE 4615 D8ED 6290 9199 28DB 8E1D DF5E 7C29 5F2E 668F ADB3 9012 9314 4C00 632A 8BB1 18F5 327E F626 4FDE 4085 D91C 0926,AC Steckdose Typ 2,22,FD27 3153 B127 310C 5A7B EB83 E17E FF82 1873 7B0B 5ABE 2521 84D0 A240 A323 03BF F863 7CD4 7927 A911 8695 76D9 1FAE 0FDB,,,,,,
MTTC Iphitos e.V.,Aumeisterweg,10,,80805,München,Bayern,Kreisfreie Stadt München,"48,1852648","11,6152544",16.11.2023,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,A6B7 86C0 4032 08F9 03AC F2FA 2B1A 6612 17F0 76E7 F7DE 44DB 1FDD 828C E4C0 C021 BF16 C67E 0149 60CF 2DB8 9291 20FA 3B7F,AC Steckdose Typ 2,22,F133 44C7 F4B9 9585 A226 4239 A990 B82B F8FB 918B 41D3 602B 4FB8 D067 636C FB20 EA2C EAE6 B797 1AAA FA93 63C9 601A C704,,,,,,
Stadtsparkasse München AdöR,Ungererstr.,75,,80805,München,Bayern,Kreisfreie Stadt München,"48,1736226","11,5951753",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d030107034200040a3821c10834ffe1c3da6553df12d187f1b74cd4d690dca1ba3f6587a72d804e76dd83f01722fd91eb667d9173a0fd3e6b3acf0cc2642781cf33fad33a0d172a,,,,,,,,,
Stadtsparkasse München AdöR,Ungererstr.,75,,80805,München,Bayern,Kreisfreie Stadt München,"48,1736226","11,5951753",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d03010703420004d34a078ab6e0344d6ef5bba905f79c33a1ac279959fc34bda0fa3cfc80c60c495b6b050d28b4d165639c8fc53aae140017e58e215d544012b3cb9174fdf5ccf5,,,,,,,,,
Stadtsparkasse München AdöR,Ungererstr.,75,,80805,München,Bayern,Kreisfreie Stadt München,"48,1736226","11,5951753",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d030107034200045f43b9c318fb14f0b2c9e2a9d1622293410bb1bb1649810c4fd3b1dfeb4603b892f0981af0213facde1a4dc3ee149c72bd3c776c2eeedeef622eefc3a3333ee1,,,,,,,,,
Stadtsparkasse München AdöR,Ungererstr.,75,,80805,München,Bayern,Kreisfreie Stadt München,"48,1736226","11,5951753",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d0301070342000471ed2c02ba12d0de73e8c710554c78d5cd2f3c2a01f8d0c16c99a69b55e8c53838a1a2417e35ef716046a41435a3dbb2dfdda4a4eb1468fae9ee59a3813d7ba8,,,,,,,,,
Stadtsparkasse München AdöR,Ungererstr.,75,,80805,München,Bayern,Kreisfreie Stadt München,"48,1736226","11,5951753",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d03010703420004b0e6e344c48fa1d14d6167abfe1ca29b7217359b0331eccb33ad888ae7f73eedf056e957210699259e17060b0fdef893ce64e0255137725b6ad5ad8e32d47251,,,,,,,,,
Stadtsparkasse München AdöR,Ungererstr.,75,,80805,München,Bayern,Kreisfreie Stadt München,"48,1736226","11,5951753",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d030107034200047015d193e9b5f50658d54efddfd47a207d5c4a5c7e0cd62fe50e3d4cc0f5f7f7ba980e6654b61e903a9043c92689977797a6d0688a7a023088f9ba869bf9c19f,,,,,,,,,
Stadtsparkasse München AdöR,Ungererstr.,75,,80805,München,Bayern,Kreisfreie Stadt München,"48,1736226","11,5951753",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d03010703420004c7928cda01d766abc473252c901ca5529a1bf696613034ba9a66637d19d7c7b27678b0bc42636d5b085049a8b9cd0dd9abb421d62b740149e209605ec321c57a,,,,,,,,,
Stadtsparkasse München AdöR,Ungererstr.,75,,80805,München,Bayern,Kreisfreie Stadt München,"48,1736226","11,5951753",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d0301070342000417fa7320dd60373b86c4708a03e35cdb5fc288b19c4127b7a421281b9f8e038fd792f81d4aea8412c4d26186fbf3a93aafa1391a8af32a7d05bb4a1475d7b925,,,,,,,,,
SWM Versorgungs GmbH,Hollandstr.,2,,80805,München,Bayern,Kreisfreie Stadt München,"48,172336","11,596745",07.08.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Hollandstr.,2a,,80805,München,Bayern,Kreisfreie Stadt München,"48,172275","11,596847",07.08.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Domagkstr.,56,,80805,München,Bayern,Kreisfreie Stadt München,"48,180116","11,602507",08.08.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Domagkstr.,56a,,80805,München,Bayern,Kreisfreie Stadt München,"48,180023","11,602598",08.08.2017,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Kunigundenstr.,30a,,80805,München,Bayern,Kreisfreie Stadt München,"48,166039","11,591885",11.06.2018,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Grünecker Str.,14,,80805,München,Bayern,Kreisfreie Stadt München,"48,179465","11,596797",15.10.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Grünecker Str.,14a,,80805,München,Bayern,Kreisfreie Stadt München,"48,179577","11,596889",15.10.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Schinkelstr.,2,,80805,München,Bayern,Kreisfreie Stadt München,"48,173955","11,589772",15.10.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Stengelstr.,2,,80805,München,Bayern,Kreisfreie Stadt München,"48,169764","11,594059",15.10.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Stengelstr.,2a,,80805,München,Bayern,Kreisfreie Stadt München,"48,169755","11,594125",15.10.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Osterwaldstr.,58,,80805,München,Bayern,Kreisfreie Stadt München,"48,168233","11,601692",08.10.2020,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Grasmeierstr.,4,,80806,München,Bayern,Kreisfreie Stadt München,"48,183153","11,608182",11.06.2018,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Grasmeierstr.,4a,,80806,München,Bayern,Kreisfreie Stadt München,"48,183117","11,608273",11.06.2018,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Auto & Service PIA GmbH,Frankfurter Ring,218,,80807,München,Bayern,Kreisfreie Stadt München,"48,118859","11,3616209",01.01.2024,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,
Auto & Service PIA GmbH,Frankfurter Ring,218,,80807,München,Bayern,Kreisfreie Stadt München,"48,118859","11,3616209",01.01.2024,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,
Charge-V,Joseph-Dollinger-Bogen,30,,80807,München,Bayern,Kreisfreie Stadt München,"48,18579","11,6058",22.03.2023,160,Schnellladeeinrichtung,2,AC Kupplung Typ 2,22,,DC Kupplung Combo,160,,,,,,,
Charge-V,Frankfurter Ring,224,,80807,München,Bayern,Kreisfreie Stadt München,"48,18622","11,60599",13.04.2023,160,Schnellladeeinrichtung,2,AC Kupplung Typ 2,22,,DC Kupplung Combo,160,,,,,,,
MAHAG Automobilhandel und Service GmbH & Co. oHG,Frankfurter Ring,251,,80807,München,Bayern,Kreisfreie Stadt München,"48,18683","11,60788",28.02.2023,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,
MAHAG Automobilhandel und Service GmbH & Co. oHG,Frankfurter Ring,251,,80807,München,Bayern,Kreisfreie Stadt München,"48,1867","11,60785",13.06.2023,50,Schnellladeeinrichtung,2,DC Kupplung Combo,50,,DC Kupplung Combo,50,,,,,,,
DIT München GmbH,Frankfurter Ring,166,,80807,München,Bayern,Kreisfreie Stadt München,"48,1874112","11,5902817",01.01.2022,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Allego GmbH,Mies-van-der-Rohe-Straße,1,,80807,München,Bayern,Kreisfreie Stadt München,"48,17698","11,591492",22.07.2021,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150,3056301006072A8648CE3D020106052B8104000A0342000428621D3D8ED00225F108F2BA7F0A07A393EED62DA29A76DB6B4FBDB210DB75A7E6648F78195A3BEF72F9C798ACC653D24374265C9E07C8786E2D9B7989013E14,DC Kupplung Combo,150,3056301006072A8648CE3D020106052B8104000A03420004F4B41E2DA5C909B24B9CA623299AFB6D085B182B35880C6633CCEC78CFDB498E7F4C3446E74BEBC06847124904E2535577D1DCC3C598F11DAB3F486D2E23F603,,,,,,
E.ON Drive GmbH,Bremer Straße,6,,80807,München,Bayern,Kreisfreie Stadt München,"48,189429","11,57043",14.04.2020,50,Schnellladeeinrichtung,2,AC Kupplung Typ 2,50,,"DC Kupplung Combo, DC CHAdeMO",50,,,,,,,
E.ON Drive GmbH,Bremer Straße,6,,80807,München,Bayern,Kreisfreie Stadt München,"48,1893","11,57035",30.09.2020,50,Schnellladeeinrichtung,2,DC Kupplung Combo,50,,DC Kupplung Combo,50,,,,,,,
NTT DATA Deutschland GmbH,Hans-Döllgast-Str.,26,,80807,München,Bayern,Kreisfreie Stadt München,"48,184132","11,587653",08.02.2019,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
NTT DATA Deutschland GmbH,Hans-Döllgast-Str.,26,,80807,München,Bayern,Kreisfreie Stadt München,"48,184132","11,587653",08.03.2019,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
NTT DATA Deutschland GmbH,Hans-Döllgast-Str.,26,,80807,München,Bayern,Kreisfreie Stadt München,"48,184132","11,587653",08.03.2019,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
NTT DATA Deutschland GmbH,Hans-Döllgast-Str.,26,,80807,München,Bayern,Kreisfreie Stadt München,"48,184132","11,587653",08.03.2019,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
BMW AG Niederlassung München,Petuelring,35,,80807,München,Bayern,Kreisfreie Stadt München,"48,18802","11,574231",13.01.2020,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,
BMW AG Niederlassung München,Frankfurter Ring,35,,80807,München,Bayern,Kreisfreie Stadt München,"48,18802","11,574231",13.01.2020,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,
BMW AG Niederlassung München,Frankfurter Ring,35,,80807,München,Bayern,Kreisfreie Stadt München,"48,18802","11,574231",13.01.2020,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,
BMW AG Niederlassung München,Frankfurter Ring,35,,80807,München,Bayern,Kreisfreie Stadt München,"48,18802","11,574231",13.01.2020,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,
BMW AG Niederlassung München,Frankfurter Ring,35,,80807,München,Bayern,Kreisfreie Stadt München,"48,18802","11,574231",13.01.2020,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,
BMW AG Niederlassung München,Frankfurter Ring,35,,80807,München,Bayern,Kreisfreie Stadt München,"48,18802","11,574231",13.01.2020,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,
TotalEnergies,Frankfurter Ring,35,,80807,München,Bayern,Kreisfreie Stadt München,"48,18836","11,57445",04.12.2015,50,Schnellladeeinrichtung,1,DC Kupplung Combo,50,,,,,,,,,,
Mercedes- Benz AG - Niederlassung München,Ingolstädter Str.,28,,80807,München,Bayern,Kreisfreie Stadt München,"48,1873454","11,5851392",22.05.2019,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,,AC Steckdose Typ 2,11,,,,,,,
Mercedes- Benz AG - Niederlassung München,Ingolstädter Str.,28,,80807,München,Bayern,Kreisfreie Stadt München,"48,18722789","11,58592188",11.05.2023,22,Normalladeeinrichtung,2,AC Kupplung Typ 2,11,,AC Kupplung Typ 2,11,,,,,,,
Mercedes- Benz AG - Niederlassung München,Ingolstädter Str.,28,,80807,München,Bayern,Kreisfreie Stadt München,"48,18692991","11,58538007",11.05.2023,22,Normalladeeinrichtung,2,AC Kupplung Typ 2,11,,AC Kupplung Typ 2,11,,,,,,,
